original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
duck|duck|animal products|animal products|duck|animal products|duck
duck (with ground bone)|duck (with ground bone)|animal products|animal products|duck|animal products|duck
duck and turkey broth|duck and turkey broth|animal products|animal products|duck|animal products|duck
duck bone|duck bone|animal products|animal products|duck|animal products|duck
duck broth|duck broth|animal products|animal products|duck|animal products|duck
duck by-product meal|duck by-product meal|animal products|animal products|duck|animal products|duck
duck cartilage|duck cartilage|animal products|animal products|duck|animal products|duck
duck fat|duck fat|fats and oils|fats and oils|duck fat|fats and oils|duck fat
duck fat (preserved naturally with mixed tocopherols)|duck fat (preserved with natural mixed tocopherols)|fats and oils|fats and oils|duck fat|fats and oils|duck fat
duck fat (preserved with mixed tocopherols)|duck fat (preserved with mixed tocopherols)|fats and oils|fats and oils|duck fat|fats and oils|duck fat
duck fat (preserved with natural mixed tocopherols and citric acid)|duck fat (preserved with natural mixed tocopherols and citric acid)|fats and oils|fats and oils|duck fat|fats and oils|duck fat
duck gizzard|duck gizzard|animal products|animal products|duck|animal products|duck
duck heart|duck heart|animal products|animal products|duck|animal products|duck
duck liver|duck liver|animal products|animal products|duck|animal products|duck
duck livers|duck liver|animal products|animal products|duck|animal products|duck
duck meal|duck meal|animal products|animal products|duck|animal products|duck
duck meal (source of glucosamine)|duck meal|animal products|animal products|duck|animal products|duck
duck necks|duck neck|animal products|animal products|duck|animal products|duck
duck skin|duck skin|animal products|animal products|duck|animal products|duck
duck wings|duck wings|animal products|animal products|duck|animal products|duck
duck with ground bone|duck (with ground bone)|animal products|animal products|duck|animal products|duck
d-xylose|xylose|unknown|additives|natural additives|additives|natural additives
egg|egg|animal products|animal products|egg|animal products|egg
egg and chicken flavor|egg and chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
egg flavor|egg flavor|special purpose products|flavors|natural flavors|flavors|flavors
egg noodle semolina|egg noodle semolina|animal products|animal products|egg|animal products|egg
egg powder|egg powder|animal products|animal products|egg|animal products|egg
egg product|egg product|animal products|animal products|egg|animal products|egg
egg product (dehydrated eggs)|egg product (dehydrated eggs)|animal products|animal products|egg|animal products|egg
egg shell|egg shell|animal products|animal products|egg|animal products|egg
egg shell meal|egg shell meal|animal products|animal products|egg|animal products|egg
egg shell membrane collagen (source of glucosamine & chondroitin sulfate)|egg shell membrane collagen|animal products|animal products|egg|animal products|egg
egg white|egg white|animal products|animal products|egg|animal products|egg
egg whites|egg white|animal products|animal products|egg|animal products|egg
egg yolk|egg yolk|animal products|animal products|egg|animal products|egg
eggplant|eggplant|unknown|fruits and vegetables|vegetables|fruits and vegetables|vegetables
eggs|egg|animal products|animal products|egg|animal products|egg
eggshell meal|egg shell meal|animal products|animal products|egg|animal products|egg
eggshells|egg shell|animal products|animal products|egg|animal products|egg
eicosapentaenoic acid (epa)|epa|fats and oils|fats and oils|eicosapentaenoic acid|fats and oils|eicosapentaenoic acid
elderberry juice|elderberry juice|special purpose products|fruits and vegetables|fruits|fruits and vegetables|fruits
enriched pasta|pasta|human food by-products|human food|pasta|human food|pasta
enterococcus facecium|enterococcus faecium|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enterococcus faecieum|enterococcus faecium|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enterococcus faecium|enterococcus faecium|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enterococcus faecium fermentation product|dried enterococcus faecium fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enterococcus faecium fermentation product (probiotic)|dried enterococcus faecium fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enterococcus faecium fermentation product dehydrated|dried enterococcus faecium fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enterococcus faecium product|enterococcus faecium product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
enzymes amylase|amylase|enzymes|enzymes|enzymes|enzymes|enzymes
enzymes amylase (aspergillus oryzae)|amylase|enzymes|enzymes|enzymes|enzymes|enzymes
ergocalciferol (source of vitamin d2)|ergocalciferol|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
erythorbic acid (preservative)|erythorbic acid (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
ethoxyquin (a preservative)|ethoxyquin (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
ethylene diamine dihydriodide|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
ethylene diamine dihydroiodide|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
ethylenediamine dihydriodide|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
ethylenediamine dihydriodide (source of iodine)|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
ethylenediamine dihydroiodide|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
ethylenediamine dihydroiodide (source of iodine)|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
ethylenediaminedihydroiodide|ethylenediamine dihydroiodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
